Line Item,Qty,Reference Designator,Description,Manufacturer,Part Number,LCSC Part Number,Digi-Key Part Number,Unit Price ($),Extended Price ($),Package/Footprint,Value/Spec,Sourcing Notes
26,1,D3,Schottky Diode 40V 1A SMA,ON Semiconductor,SS14,C8598,SS14FSCT-ND,0.08,0.08,SMA,40V 1A,Protection
27,2,SW1-SW2,Tactile Switch 3x4mm,C&K,RS-032G05-A3,C92584,CKN10363-ND,0.15,0.30,SMD 3x4mm,,User buttons
28,1,SW3,Slide Switch SPDT SMD,C&K,JS202011SCQN,C128955,360-JS202011SCQN-ND,0.45,0.45,SMD 8.6x3.6mm,,Power switch
29,1,J1,Pin Header 2.54mm 1x4 Vertical,Harwin,M20-9720445,C157130,952-2269-ND,0.08,0.08,TH 1x4,,SWD debug
30,1,J2,Pin Header 2.54mm 1x8 Vertical,Harwin,M20-9720845,C157134,952-2273-ND,0.15,0.15,TH 1x8,,EMG input Ch1-4
31,1,J3,Pin Header 2.54mm 1x8 Vertical,Harwin,M20-9720845,C157134,952-2273-ND,0.15,0.15,TH 1x8,,EMG input Ch5-8
32,1,J4,Pin Header 2.54mm 1x4 Vertical,Harwin,M20-9720445,C157130,952-2269-ND,0.08,0.08,TH 1x4,,UART/I2C/SPI
33,1,J5,Pin Header 2.54mm 1x2 Vertical,Harwin,M20-9720245,C157128,952-2267-ND,0.05,0.05,TH 1x2,,Power in
34,2,TP1-TP2,Test Point Red Keystone,Keystone,5000,C17477,5000K-ND,0.15,0.30,SMD,,Test points
35,1,PCB1,PCB Fabrication 50x35mm 4-Layer,JLCPCB,4L-1.6mm-ENIG,,,8.00,8.00,50x35mm,,JLC Order
,,,,,,,,,,,
TOTALS,,,,,,,,,,,
Active Components,,,,,,,,55.13,,,,
Passive Components,,,,,,,,2.10,,,,
Connectors/Mechanical,,,,,,,,1.26,,,,
PCB Fabrication,,,,,,,,8.00,,,,
SHIPPING ESTIMATE (JLCPCB + Digi-Key),,,,,,,,15.00,,,,
,,,,,,,,,,,
GRAND TOTAL,,,,,,,,$81.49,,,,
